Ticker,Name,Sector,Industry,Score,Action,Composite_Flag,Moat_Score,Moat_Label,Price,Analyst_Target,Analyst_Upside,Analyst_Count,Mkt_Cap,PE_Fwd,PS,PB,PEG,EV_EBITDA,ROE,Rev_Growth,Rev_Growth_Prev,Gross_Margin,Op_Margin,Profit_Margin,FCF_Yield,EPS_Growth,EPS_Surprise,From_Low_Pct,From_High_Pct,Debt_Equity,Beta,Short_Float,Inst_Own,Insider_Buy_Pct,Div_Yield,Payout_Ratio,ROA,Current_Ratio,MA200,Vs_MA200
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,66.5,BUY,💰 Income,72.0,Narrow,233.89,274.74,17.47,31.0,$293.8B,33.96,14.29,28.84,1.0,39.54,66.0,22.1,12.8,49.8,33.87,30.22,1.64,33.8,,315.29,-8.88,0.44,1.78,2.95,88.85,100.0,44.0,20.12,21.05,2.26,142.23,64.44
PAYC,"Paycom Software, Inc.",Technology,Software - Application,66.5,BUY,💰 Income · ⚠️ Below 200 DMA,79.0,Wide,125.83,151.18,20.15,17.0,$6.9B,11.13,3.37,3.89,55.65,10.1,27.0,10.2,-2.08,87.18,28.86,22.1,3.78,0.2,,19.95,-53.01,0.05,0.8,10.16,98.25,100.0,119.0,18.56,5.27,1.09,196.99,-36.12
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor Equipment & Materials,66.4,BUY,🚀 Accel Growth · 💰 Income,18.0,None,47.82,56.25,17.63,8.0,$11.8B,20.86,1.76,2.65,0.33,10.4,9.0,15.9,-7.23,13.99,9.77,5.57,-0.97,62.6,,240.84,-16.24,0.37,1.95,6.06,46.73,100.0,70.0,22.11,3.87,2.27,31.98,49.53
MOV,Movado Group Inc.,Consumer Cyclical,Luxury Goods,66.4,BUY,💎 Deep Value · 💰 Income,46.5,Weak,24.95,30.75,23.25,2.0,$552M,16.2,0.84,1.11,0.16,13.08,4.0,3.1,-7.35,54.19,6.3,3.33,5.53,98.5,,94.16,-3.48,0.17,0.97,2.83,86.18,100.0,561.0,144.33,2.25,4.06,19.03,31.11
CMRE,Costamare Inc.,Industrials,Marine Shipping,66.4,BUY,💰 Income,63.5,Narrow,17.57,17.0,-3.24,1.0,$2.1B,6.73,2.41,1.01,0.05,5.34,17.0,-61.3,-101.0,72.03,47.51,41.53,,130.1,,165.01,-1.51,0.7,1.12,5.09,32.45,,262.0,14.89,6.3,1.73,12.59,39.56
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Defensive,Packaged Foods,66.3,BUY,💰 Income,48.5,Weak,82.61,109.0,31.95,1.0,$965M,17.36,0.84,2.61,0.54,8.25,20.0,4.6,14.48,19.06,7.95,6.15,2.98,32.1,,41.29,-2.98,0.2,0.37,2.5,94.6,100.0,109.0,15.03,10.49,2.27,67.77,21.9
GIB,CGI Inc.,Technology,Information Technology Services,66.1,BUY,💰 Income · ⚠️ Below 200 DMA,58.0,Narrow,73.36,90.64,23.56,3.0,$15.8B,10.28,0.97,2.15,12.85,6.66,17.0,7.7,-0.24,20.48,16.06,10.25,11.87,0.8,,4.86,-33.35,0.45,0.41,,73.29,85.0,68.0,8.31,9.02,0.94,93.5,-21.54
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,66.1,BUY,📈 Analyst Conviction,51.0,Weak,200.21,290.26,44.98,47.0,$326.4B,18.47,9.42,5.18,0.09,47.42,7.0,34.1,24.31,52.49,17.06,12.52,1.41,213.5,,161.78,-25.04,0.06,1.95,1.89,72.19,100.0,,,3.2,2.85,186.58,7.31
TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,66.0,BUY,💰 Income,56.0,Narrow,78.27,78.4,0.17,5.0,$2.7B,12.01,2.84,1.32,0.41,6.26,18.0,-26.4,-33.68,36.58,34.3,36.9,0.73,29.4,,134.69,-0.52,0.02,-0.32,2.86,64.18,,128.0,11.1,6.38,7.98,53.18,47.18
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,66.0,BUY,🚀 Accel Growth · 💰 Income,37.0,Weak,85.29,100.5,17.83,10.0,$26.8B,6.69,1.55,2.22,,11.41,0.0,27.9,9.39,18.57,14.88,-0.32,16.79,,,28.58,-4.46,0.86,0.74,8.53,102.75,100.0,375.0,41.3,3.77,0.93,75.58,12.85
GFF,Griffon Corporation,Industrials,Building Products & Equipment,66.0,BUY,⚠️ High Leverage,58.5,Narrow,85.24,114.14,33.9,7.0,$4.0B,14.55,1.57,36.46,,10.44,27.0,2.6,8.24,41.81,17.49,1.76,5.76,-9.1,,33.35,-12.65,14.21,1.27,3.63,78.87,100.0,103.0,75.25,13.02,2.56,76.62,11.25
APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,65.9,BUY,💎 Deep Value,53.0,Weak,45.82,46.17,0.76,6.0,$829M,16.78,1.27,2.97,0.12,10.86,11.0,6.6,-0.82,54.22,8.42,4.88,9.85,145.8,,144.11,-1.42,0.6,1.72,11.48,114.1,100.0,,,6.63,2.83,34.59,32.47
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,65.8,BUY,💰 Income,64.0,Narrow,117.96,140.0,18.68,2.0,$13.1B,14.13,3.13,4.02,1.21,11.99,26.0,4.2,23.24,29.02,18.13,18.31,3.81,11.7,,76.48,-15.31,0.01,1.02,2.78,93.21,100.0,119.0,14.58,15.93,5.92,100.76,17.07
BLBD,Blue Bird Corporation,Industrials,Farm & Heavy Construction Machinery,65.8,BUY,⭐ Compounder,61.5,Narrow,58.27,66.75,14.55,8.0,$1.8B,11.54,1.23,6.8,1.63,9.03,58.0,6.1,14.08,20.97,11.3,8.65,6.9,7.1,,93.97,-7.36,0.33,1.43,18.06,115.32,100.0,,,18.36,1.81,50.54,15.29
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,65.8,BUY,📈 Analyst Conviction · 💰 Income,80.5,Wide,648.18,863.2,33.17,59.0,$1.6T,18.07,8.16,7.55,1.94,16.13,30.0,23.8,21.1,82.0,41.31,30.08,1.43,9.3,,35.09,-18.6,0.39,1.28,1.24,78.49,100.0,32.0,8.94,16.21,2.6,691.29,-6.24
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,65.7,BUY,💎 Deep Value · ⚠️ High Leverage,87.0,Wide,62.37,62.16,-0.34,25.0,$127.0B,10.18,2.64,6.87,0.01,8.56,40.0,1.3,9.12,72.62,28.16,14.64,8.78,1409.7,,46.68,-1.52,2.55,0.29,1.56,82.85,100.0,404.0,71.97,10.29,1.25,49.41,26.23
M,Macy's Inc,Consumer Cyclical,Department Stores,65.6,BUY,💰 Income,39.5,Weak,19.78,21.8,10.21,10.0,$5.3B,9.04,0.23,1.22,,6.84,11.0,0.2,-37.57,40.38,0.77,2.1,17.07,-60.7,,102.66,-18.97,1.21,1.52,10.89,90.82,100.0,387.0,42.41,3.22,1.25,17.21,14.93
NVEC,NVE Corporation,Technology,Semiconductors,65.5,BUY,🚀 Accel Growth · 💰 Income,83.0,Wide,68.84,,,,$333M,24.33,12.83,5.71,2.21,19.85,23.0,22.9,-12.69,79.15,60.15,54.59,2.18,11.0,,33.67,-16.35,0.02,1.22,7.53,88.53,100.0,578.0,136.99,15.49,34.84,68.06,1.15
PGY,Pagaya Technologies Ltd.,Technology,Software - Infrastructure,65.5,BUY,⚠️ High Short · ⚠️ High Beta · ⚠️ Below 200 DMA,56.0,Narrow,11.19,27.55,146.2,11.0,$900M,3.36,0.69,1.91,,2.38,13.0,19.8,15.25,42.43,23.81,6.25,25.67,,,31.65,-75.13,1.47,5.88,24.7,62.81,100.0,,,11.62,14.26,24.92,-55.1
INTU,Intuit Inc.,Technology,Software - Application,65.3,BUY,🚀 Accel Growth · 📈 Analyst Conviction · ⚠️ Below 200 DMA,77.8,Wide,409.03,620.94,51.81,31.0,$113.9B,15.5,5.66,5.96,,,23.0,41.0,-3.33,80.9,15.7,21.57,4.66,-14.6,,17.2,-49.73,,1.23,3.41,89.97,100.0,110.0,29.67,10.33,1.32,660.51,-38.07
PTC,PTC Inc.,Technology,Software - Application,65.3,BUY,⭐ Compounder · 💎 Deep Value,81.0,Wide,156.59,195.0,24.53,18.0,$18.6B,17.98,6.52,4.85,0.18,16.15,23.0,21.4,40.45,84.23,33.8,28.61,4.22,102.5,,17.4,-28.72,0.36,1.03,5.03,101.58,100.0,,,11.24,1.22,184.08,-14.93
HNI,HNI Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",65.2,BUY,🚀 Accel Growth · 💰 Income,36.5,Weak,44.96,72.0,60.14,4.0,$3.2B,9.24,1.12,1.28,,10.71,4.0,38.3,3.83,41.52,7.27,1.91,4.8,,,18.19,-15.63,0.87,0.92,2.4,128.81,100.0,302.0,44.97,4.47,1.24,45.77,-1.77
DELL,Dell Technologies Inc.,Technology,Computer Hardware,65.2,BUY,🚀 Accel Growth,22.9,None,148.08,163.13,10.16,23.0,$99.2B,10.41,0.87,-39.99,0.28,13.66,,39.5,24.42,20.0,7.92,5.23,-1.37,36.6,,123.52,-11.9,,1.1,9.33,81.29,100.0,142.0,27.01,5.63,0.91,128.86,14.92
RBBN,Ribbon Communications Inc.,Technology,Software - Application,65.2,BUY,💎 Deep Value · ⚠️ Below 200 DMA,48.0,Weak,2.23,3.65,63.68,6.0,$395M,9.59,0.47,0.87,0.01,8.59,9.0,-9.6,-12.24,52.22,8.25,4.69,10.82,1299.5,,23.89,-53.93,0.9,1.04,3.97,74.72,100.0,,,1.09,1.44,3.4,-34.41
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,65.1,BUY,💎 Deep Value · 💰 Income,54.5,Weak,175.1,214.0,22.22,13.0,$22.4B,13.55,1.3,4.5,0.9,11.05,31.0,-3.6,5.28,18.04,11.24,8.43,4.94,15.1,,37.45,-14.9,1.08,0.62,2.49,80.92,95.0,95.0,14.63,9.9,1.7,177.53,-1.37
HUBS,"HubSpot, Inc.",Technology,Software - Application,65.0,BUY,💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,49.0,Weak,264.51,374.75,41.68,34.0,$14.0B,17.42,4.46,6.73,0.02,406.0,2.0,20.4,13.36,83.76,5.69,1.47,4.67,992.2,,27.66,-63.86,0.13,1.39,6.34,91.31,100.0,,,0.2,1.67,448.27,-40.99
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,65.0,BUY,🚀 Accel Growth · 📈 Analyst Conviction · ⚠️ High Short · ⚠️ Below 200 DMA,57.0,Narrow,10.73,15.93,48.46,15.0,$5.7B,14.07,3.69,2.98,,121.56,13.0,15.9,-14.62,83.38,3.18,14.79,7.33,,,14.39,-45.92,0.04,1.07,22.96,74.99,100.0,,,0.53,2.65,13.48,-20.4
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,65.0,BUY,💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,54.0,Weak,72.5,110.27,52.1,40.0,$12.8B,19.73,4.52,1.86,0.12,51.72,3.0,11.6,6.74,77.08,3.1,6.87,7.49,168.8,,5.42,-43.17,0.06,0.77,4.88,91.87,100.0,,,0.84,1.47,92.41,-21.55
FLXS,"Flexsteel Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",64.9,BUY,💰 Income,49.0,Weak,51.47,54.0,4.92,2.0,$275M,12.31,0.6,1.54,,7.35,12.0,9.0,-3.1,23.08,7.61,4.58,8.16,-26.6,,75.19,-14.15,0.31,0.53,1.9,72.2,100.0,150.0,21.04,8.13,3.01,40.17,28.13
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,64.9,BUY,💰 Income · ⚠️ Below 200 DMA,68.0,Narrow,214.36,276.71,29.09,14.0,$86.7B,17.92,4.09,13.51,1.74,14.28,74.0,6.2,-6.8,48.35,26.28,19.96,3.99,10.3,,5.46,-35.03,0.7,0.85,2.77,86.46,100.0,317.0,60.71,4.71,1.03,280.31,-23.53
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,64.8,BUY,⭐ Compounder,87.0,Wide,117.27,128.52,9.59,21.0,$17.1B,16.02,3.18,6.4,3.02,10.96,40.0,7.1,40.03,57.55,31.38,19.35,4.44,5.3,,48.61,-17.36,0.13,1.15,3.83,98.34,100.0,,,19.9,2.86,104.48,12.24
CLMB,"Climb Global Solutions, Inc.",Technology,Electronics & Computer Distribution,64.8,BUY,🚀 Accel Growth · 💰 Income,42.9,Weak,94.68,136.0,43.64,1.0,$437M,15.55,0.67,3.68,,10.51,21.0,19.8,-1.53,16.13,4.95,3.27,,-0.1,,18.23,-34.71,0.02,1.13,5.62,73.84,100.0,75.0,14.62,4.03,1.11,115.15,-17.78
SEIC,SEI Investments Company,Financial Services,Asset Management,64.7,BUY,💰 Income,80.0,Wide,81.32,103.71,27.53,7.0,$10.0B,12.74,4.33,4.06,1.19,14.67,29.0,9.1,4.93,78.37,26.35,31.14,3.16,10.7,,25.77,-13.45,0.01,0.95,1.73,74.46,100.0,124.0,17.94,13.08,3.29,85.17,-4.52
GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,64.7,BUY,💰 Income,77.5,Wide,93.92,96.0,2.21,9.0,$15.6B,27.16,6.96,5.84,1.24,20.68,20.0,8.1,2.85,52.45,27.47,23.33,3.33,21.9,,30.34,-1.85,0.02,1.08,2.9,91.85,100.0,126.0,35.71,12.0,3.15,85.17,10.27
NGVC,Natural Grocers by Vitamin Cott,Consumer Defensive,Grocery Stores,64.7,BUY,💎 Deep Value · 💰 Income · ⚠️ Below 200 DMA,38.5,Weak,27.03,45.0,66.48,2.0,$623M,12.57,0.47,2.83,0.9,9.52,24.0,1.6,0.11,33.65,4.38,3.58,7.03,14.0,,15.17,-55.85,1.48,1.32,8.06,38.86,100.0,222.0,24.76,6.01,1.07,35.14,-23.08
UI,Ubiquiti Inc.,Technology,Communication Equipment,64.6,BUY,🚀 Accel Growth · 💰 Income,70.0,Narrow,766.99,623.5,-18.71,2.0,$46.4B,40.49,15.62,45.69,0.57,43.46,136.0,35.8,10.48,45.42,35.94,29.9,1.11,70.8,,200.78,-4.56,0.11,1.4,11.42,4.95,100.0,42.0,19.09,46.69,2.72,549.81,39.5
TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,64.6,BUY,📈 Analyst Conviction · ⚠️ Below 200 DMA,72.0,Narrow,23.82,34.32,44.08,33.0,$11.6B,10.0,4.02,4.6,3.85,14.99,16.0,14.3,-6.34,78.63,30.34,15.31,5.17,2.6,,13.0,-73.95,0.18,1.09,10.61,83.8,100.0,,,6.01,1.61,52.58,-54.7
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,64.6,BUY,—,62.0,Narrow,100.15,109.32,9.16,19.0,$36.3B,9.91,1.82,1.53,0.31,6.43,20.0,8.5,10.19,37.16,29.53,22.07,-46.82,32.4,,21.47,-3.13,0.12,0.38,1.83,93.17,100.0,,,4.44,1.1,91.96,8.91
ADI,"Analog Devices, Inc.",Technology,Semiconductors,64.6,BUY,🚀 Accel Growth · 💰 Income,57.5,Narrow,355.79,382.36,7.47,33.0,$174.2B,27.59,14.82,5.14,0.25,32.67,8.0,30.4,18.87,62.84,33.07,23.02,2.38,112.3,,124.26,-2.04,0.26,1.03,1.87,93.39,100.0,114.0,85.31,4.54,1.76,256.56,38.68
FOXA,Fox Corporation,Communication Services,Entertainment,64.5,BUY,📈 Analyst Conviction · 💰 Income,56.5,Narrow,56.34,71.76,27.37,17.0,$24.0B,10.93,1.45,2.19,,8.39,17.0,2.0,-14.48,35.44,11.35,11.41,7.37,-38.6,,21.37,-26.25,0.67,0.51,18.76,122.69,100.0,99.0,13.19,8.81,2.78,61.59,-8.52
ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,64.5,BUY,⭐ Compounder · 💰 Income,50.0,Weak,118.52,135.79,14.57,16.0,$9.0B,9.88,0.83,3.44,,6.99,30.0,7.7,3.75,19.18,12.25,6.8,5.84,-7.0,,57.0,-8.93,0.9,1.33,4.4,73.88,100.0,278.0,32.67,8.41,1.04,118.31,0.18
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,64.4,BUY,💎 Deep Value,82.0,Wide,141.12,144.67,2.52,6.0,$7.2B,16.15,3.65,3.42,0.77,12.82,20.0,4.5,32.16,52.87,26.34,20.47,6.54,21.0,,86.1,-3.92,0.07,1.14,6.04,102.03,100.0,,,11.83,7.65,117.99,19.6
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,64.4,BUY,💰 Income,75.0,Wide,1524.55,1666.7,9.32,30.0,$200.3B,32.95,15.72,36.58,0.84,34.96,101.0,7.2,4.79,61.57,41.31,35.76,1.61,39.0,,176.52,-9.97,1.12,1.46,2.48,93.76,100.0,50.0,21.54,21.09,2.83,1095.33,39.19
MCB,Metropolitan Bank Holding Corp.,Financial Services,Banks - Regional,64.4,BUY,🚀 Accel Growth,34.0,None,84.15,100.33,19.23,3.0,$867M,7.15,3.12,1.14,0.21,,10.0,23.1,7.42,0.0,50.01,25.62,,34.7,,78.74,-13.99,,1.12,5.04,90.22,100.0,59.0,4.53,0.91,,75.89,10.88
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,64.3,BUY,💰 Income,74.7,Narrow,41.84,45.6,8.99,5.0,$6.2B,8.2,4.99,1.13,0.92,,13.0,3.6,0.89,73.54,75.33,54.56,,8.9,,33.76,-6.61,0.14,0.51,15.18,21.47,100.0,201.0,18.03,8.47,1.03,37.79,10.72
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,64.3,BUY,🚀 Accel Growth · 📈 Analyst Conviction · ⚠️ Below 200 DMA,19.0,None,32.39,41.31,27.54,16.0,$19.4B,10.94,0.69,2.77,0.44,18.74,13.0,123.4,9.08,8.02,3.74,3.11,0.53,24.9,,17.36,-48.06,0.75,1.52,18.97,56.5,100.0,,,3.42,1.7,41.66,-22.25
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,64.2,BUY,⭐ Compounder · 💰 Income,75.5,Wide,142.36,161.04,13.12,27.0,$152.0B,12.67,3.39,6.63,,11.25,21.0,5.0,2.66,55.1,27.47,11.96,6.86,-5.5,,17.85,-30.88,0.64,1.24,3.69,81.58,100.0,250.0,70.97,14.05,2.5,160.74,-11.43
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,63.8,BUY,🚀 Accel Growth · 📈 Analyst Conviction · 💰 Income,53.5,Weak,81.69,115.65,41.57,40.0,$69.3B,24.15,8.89,4.93,,29.14,18.0,36.8,10.38,50.71,17.73,31.75,2.82,,,73.48,-20.51,0.34,1.98,4.53,83.83,100.0,29.0,8.45,3.48,2.01,78.53,4.02
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,63.8,BUY,💎 Deep Value · 📈 Analyst Conviction,90.0,Wide,4239.35,5816.77,37.21,35.0,$136.7B,13.54,5.08,-24.24,0.4,13.5,,16.0,89.16,87.36,32.45,20.08,4.79,33.7,,12.59,-27.4,,1.19,2.59,112.04,100.0,93.0,23.19,20.82,1.33,5258.83,-19.39
GL,Globe Life Inc.,Financial Services,Insurance - Life,63.7,BUY,⭐ Compounder · 💰 Income,63.5,Narrow,145.26,172.1,18.48,10.0,$11.8B,8.79,1.96,1.92,2.04,8.63,21.0,3.6,2.2,33.81,24.24,19.37,9.66,4.3,,32.8,-4.88,0.51,0.46,2.28,85.45,100.0,74.0,7.68,3.33,0.76,134.36,8.11
AZZ,AZZ Inc.,Industrials,Specialty Business Services,63.7,BUY,💎 Deep Value · 💰 Income,52.0,Weak,135.98,139.56,2.63,9.0,$4.1B,19.96,2.53,3.08,0.9,13.35,27.0,5.5,18.59,24.11,16.32,19.89,3.9,22.2,,91.79,-3.68,0.43,1.12,4.89,97.38,100.0,57.0,6.95,7.23,1.66,108.51,25.32
JBL,Jabil Inc.,Technology,Electronic Components,63.6,BUY,💎 Deep Value · ⚠️ High Leverage,41.0,Weak,264.99,264.5,-0.18,8.0,$28.3B,19.65,0.91,21.06,0.43,13.04,48.0,18.7,22.65,8.94,4.13,2.26,4.19,46.0,,143.87,-5.82,2.56,1.24,3.12,97.68,100.0,12.0,5.01,5.16,0.99,216.35,22.48
BAH,Booz Allen Hamilton Holding Cor,Industrials,Consulting Services,63.6,BUY,⚠️ High Leverage,62.0,Narrow,78.83,106.82,35.51,11.0,$9.7B,12.53,0.85,9.29,1.79,10.1,75.0,-10.2,-2.84,22.37,9.73,7.35,8.33,7.0,,6.63,-39.78,4.04,0.35,9.86,105.36,100.0,299.0,32.64,9.91,1.81,97.88,-19.46
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,63.5,BUY,💰 Income · ⚠️ Below 200 DMA,76.5,Wide,37.45,51.37,37.17,11.0,$166.5B,10.87,0.54,5.43,,1.76,61.0,-7.6,-3.98,82.41,44.53,33.14,0.23,-4.7,,0.38,-59.25,0.67,0.4,0.84,9.5,,497.0,50.42,17.43,0.8,57.16,-34.48
FFIV,"F5, Inc.",Technology,Software - Infrastructure,63.5,BUY,⭐ Compounder,86.0,Wide,271.36,310.3,14.35,10.0,$15.4B,16.16,4.9,4.36,1.97,16.3,21.0,7.3,10.8,81.39,26.04,22.45,4.42,8.2,,21.27,-21.57,0.08,1.01,4.91,109.41,100.0,,,8.09,1.55,287.01,-5.45
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,63.5,BUY,💎 Deep Value · 💰 Income,52.0,Weak,48.02,43.0,-10.45,1.0,$13.0B,10.0,0.87,1.12,0.01,7.37,12.0,3.8,4.98,32.0,10.81,8.53,17.99,1338.1,,10.93,-6.47,0.27,0.36,7.95,100.27,100.0,400.0,39.23,1.61,0.37,46.63,2.98
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,63.4,BUY,💰 Income,69.0,Narrow,372.3,409.22,9.92,32.0,$295.5B,27.0,10.47,13.6,0.38,33.09,39.0,-2.1,1.9,48.72,29.89,27.78,1.47,71.0,,200.87,-5.97,0.33,1.68,1.86,85.38,100.0,49.0,18.26,14.85,2.71,226.95,64.04
NTNX,"Nutanix, Inc.",Technology,Software - Infrastructure,63.3,BUY,💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,70.7,Narrow,38.28,58.87,53.79,15.0,$10.4B,17.75,3.85,-12.35,0.21,33.89,,10.4,-0.22,87.13,11.64,9.95,6.49,82.6,,8.17,-54.08,,0.48,5.59,91.86,100.0,,,4.44,1.66,64.23,-40.4
GAP,"Gap, Inc. (The)",Consumer Cyclical,Apparel Retail,63.3,BUY,⚠️ High Beta,49.0,Weak,28.04,30.59,9.09,17.0,$10.4B,12.08,0.68,2.86,,8.03,25.0,3.0,-10.22,41.01,8.22,5.57,5.9,-13.9,,65.04,-4.5,1.51,2.27,11.23,61.64,100.0,250.0,29.05,6.06,1.72,23.96,17.03
TOST,"Toast, Inc.",Technology,Software - Infrastructure,63.2,BUY,💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,37.5,Weak,27.31,37.22,36.29,23.0,$16.1B,16.74,2.61,7.57,0.08,38.25,19.0,22.0,22.14,25.97,5.51,5.56,3.61,215.6,,12.16,-45.01,0.01,1.93,5.39,87.14,100.0,,,6.87,2.75,38.57,-29.19
RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail,63.2,BUY,⚠️ High Short,50.5,Weak,25.16,31.21,24.05,14.0,$1.8B,22.48,1.46,2.99,0.45,18.47,13.0,10.4,5.19,53.5,6.75,5.03,2.09,50.4,,49.76,-20.58,0.06,1.77,25.0,114.41,100.0,,,6.87,2.81,23.57,6.75
YUMC,"Yum China Holdings, Inc.",Consumer Cyclical,Restaurants,63.1,BUY,💎 Deep Value · 💰 Income,36.5,Weak,54.91,62.02,12.95,22.0,$19.4B,16.85,1.64,3.61,0.78,11.65,16.0,8.8,7.4,17.28,7.16,7.88,5.31,21.7,,33.93,-5.96,0.31,0.12,1.53,78.06,100.0,211.0,38.25,7.57,1.05,46.53,18.01
VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,63.0,BUY,💰 Income · ⚠️ High Beta,60.5,Narrow,254.89,263.2,3.26,24.0,$97.5B,32.24,9.53,24.74,0.16,44.8,42.0,22.7,31.42,36.32,21.17,13.03,1.47,203.1,,375.54,-3.76,0.82,2.09,2.48,80.02,95.0,10.0,5.13,11.12,1.55,156.1,63.29
NFLX,"Netflix, Inc.",Communication Services,Entertainment,63.0,BUY,⭐ Compounder · 💎 Deep Value,72.0,Narrow,96.24,113.71,18.15,40.0,$408.2B,25.16,9.04,15.27,0.86,30.33,43.0,17.6,9.18,48.49,24.54,24.3,6.08,29.4,,28.3,-28.24,0.64,1.71,1.98,83.74,100.0,,,15.25,1.19,110.14,-12.62
TREE,"LendingTree, Inc.",Financial Services,Financial Conglomerates,62.9,BUY,🚀 Accel Growth · ⚠️ High Beta · ⚠️ High Leverage · ⚠️ Below 200 DMA,57.0,Narrow,37.37,81.33,117.63,6.0,$511M,7.5,0.48,3.85,,10.39,12.0,18.0,-4.36,96.16,9.39,1.34,10.47,,,14.46,-51.69,3.4,2.17,11.96,87.31,100.0,,,6.23,1.43,52.3,-28.55
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,62.9,BUY,💰 Income,68.0,Narrow,227.01,260.97,14.96,32.0,$57.4B,13.54,4.68,5.71,,16.53,21.0,7.2,11.92,55.38,26.3,16.47,3.28,-8.1,,53.29,-11.45,1.2,1.46,4.39,99.08,100.0,179.0,51.02,8.01,2.05,220.67,2.87
SE,Sea Limited,Consumer Cyclical,Internet Retail,62.8,BUY,🚀 Accel Growth · 📈 Analyst Conviction · ⚠️ Below 200 DMA,38.0,Weak,108.45,180.54,66.47,30.0,$64.2B,22.09,3.05,6.33,0.15,32.92,16.0,38.3,6.24,44.92,7.95,6.74,1.19,144.6,,8.99,-45.58,0.41,1.59,6.36,72.51,100.0,,,4.45,1.44,151.98,-28.64
SAFT,"Safety Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,62.7,BUY,💰 Income,43.5,Weak,77.63,,,,$1.2B,12.42,0.91,1.27,0.08,8.3,12.0,11.4,10.97,10.77,8.13,7.85,,147.4,,15.8,-7.8,0.07,0.21,1.84,85.32,100.0,474.0,61.67,3.38,0.38,75.31,3.08
